Model Size,Model Type,Value,value
0.56,bloom-seen 0s,13,0.476530643273076
1.1,bloom-seen 0s,13,0.229180273917116
1.7,bloom-seen 0s,13,0.471429430202537
3.0,bloom-seen 0s,13,0.346273275238264
7.1,bloom-seen 0s,13,0.522078896224078
0.56,bloom-seen 0s,14,0.241827612270962
1.1,bloom-seen 0s,14,0.111592085502096
1.7,bloom-seen 0s,14,0.174169099514093
3.0,bloom-seen 0s,14,0.16302581430999
7.1,bloom-seen 0s,14,0.0793197278911565
0.56,bloom-seen 0s,15,0.241693091959049
1.1,bloom-seen 0s,15,0.124385958939339
1.7,bloom-seen 0s,15,0.116805055355476
3.0,bloom-seen 0s,15,0.156968151230567
7.1,bloom-seen 0s,15,0.119818871604586
0.56,bloom-seen 0s,16,0.174522167701325
1.1,bloom-seen 0s,16,0.157762872048586
1.7,bloom-seen 0s,16,0.0901190848034702
3.0,bloom-seen 0s,16,0.147125434509657
7.1,bloom-seen 0s,16,0.21000604777941
0.56,bloom-seen 0s,17,0.167957400752844
1.1,bloom-seen 0s,17,0.127634246941178
1.7,bloom-seen 0s,17,0.0423469387755102
3.0,bloom-seen 0s,17,0.20991303619829
7.1,bloom-seen 0s,17,0.128138583746413
0.56,bloom-seen 0s,18,0.128901722136044
1.1,bloom-seen 0s,18,0.119475790136223
1.7,bloom-seen 0s,18,0.0566305658471557
3.0,bloom-seen 0s,18,0.173459990562851
7.1,bloom-seen 0s,18,0.083313325330132
0.56,bloom-seen 0s,19,0.1159792121977
1.1,bloom-seen 0s,19,0.0737609329446064
1.7,bloom-seen 0s,19,0.0638540980004395
3.0,bloom-seen 0s,19,0.16962286757002
7.1,bloom-seen 0s,19,0.0784750624815683
0.56,bloom-seen 0s,20,0.264742456122234
1.1,bloom-seen 0s,20,0.0603463089542356
1.7,bloom-seen 0s,20,0.13781934304975
3.0,bloom-seen 0s,20,0.131475967085582
7.1,bloom-seen 0s,20,0.256216119471398
0.56,bloom-seen 0s,21,0.15033796612744
1.1,bloom-seen 0s,21,0.0243433696348495
1.7,bloom-seen 0s,21,0.0821771061874891
3.0,bloom-seen 0s,21,0.0910724495630156
7.1,bloom-seen 0s,21,0.0643364701363549
0.56,bloom-seen 0s,22,0.153658849645972
1.1,bloom-seen 0s,22,0.138827745692734
1.7,bloom-seen 0s,22,0.0876212805858109
3.0,bloom-seen 0s,22,0.176418405085083
7.1,bloom-seen 0s,22,0.167216203149059
0.56,bloom-seen 0s,23,0.140265591013923
1.1,bloom-seen 0s,23,0.18606803699683
1.7,bloom-seen 0s,23,0.0334310134310134
3.0,bloom-seen 0s,23,0.217937682559734
7.1,bloom-seen 0s,23,0.212186019839081
0.56,bloom-seen 0s,24,0.1419506329365
1.1,bloom-seen 0s,24,0.0905407457330929
1.7,bloom-seen 0s,24,0.0278128950695322
3.0,bloom-seen 0s,24,0.0634339149715608
7.1,bloom-seen 0s,24,0.147848027046712
0.56,bloom-seen 0s,25,0.163634384712016
1.1,bloom-seen 0s,25,0.162488335996117
1.7,bloom-seen 0s,25,0.122665575759286
3.0,bloom-seen 0s,25,0.118516547021438
7.1,bloom-seen 0s,25,0.0279365079365079
0.56,bloom-seen 0s,26,0.170296818278881
1.1,bloom-seen 0s,26,0.175336619354757
1.7,bloom-seen 0s,26,0.542748522660713
3.0,bloom-seen 0s,26,0.272396000128153
7.1,bloom-seen 0s,26,0.285169083185225
0.56,bloom-seen 0s,27,0.176529630359614
1.1,bloom-seen 0s,27,0.128529707829808
1.7,bloom-seen 0s,27,0.0801439939370974
3.0,bloom-seen 0s,27,0.175086321725462
7.1,bloom-seen 0s,27,0.194504722317664
0.56,bloom-seen 0s,28,0.15352263835236
1.1,bloom-seen 0s,28,0.118128497952856
1.7,bloom-seen 0s,28,0.057033213423348
3.0,bloom-seen 0s,28,0.176848606068839
7.1,bloom-seen 0s,28,0.158025468736955
0.56,bloom-seen 0s,29,0.161023045394082
1.1,bloom-seen 0s,29,0.144399241109767
1.7,bloom-seen 0s,29,0.0283140283140283
3.0,bloom-seen 0s,29,0.155092855353737
7.1,bloom-seen 0s,29,0.123153102825289
0.56,bloom-seen 0s,30,0.265554277415638
1.1,bloom-seen 0s,30,0.268026679130032
1.7,bloom-seen 0s,30,0.419078649443609
3.0,bloom-seen 0s,30,0.323577150278049
7.1,bloom-seen 0s,30,0.311846447373264
0.56,bloom-seen 0s,31,0.238680653275862
1.1,bloom-seen 0s,31,0.18203081232493
1.7,bloom-seen 0s,31,0.0278128950695322
3.0,bloom-seen 0s,31,0.137620824625119
7.1,bloom-seen 0s,31,0.0803159973666886
0.56,bloom-seen 0s,32,0.4684975292464
1.1,bloom-seen 0s,32,0.348615482414468
1.7,bloom-seen 0s,32,0.340840805675683
3.0,bloom-seen 0s,32,0.295245289158916
7.1,bloom-seen 0s,32,0.387417027417027
0.56,bloom-seen 0s,33,0.295462861874898
1.1,bloom-seen 0s,33,0.19649595610602
1.7,bloom-seen 0s,33,0.224667495073618
3.0,bloom-seen 0s,33,0.0421875731610245
7.1,bloom-seen 0s,33,0.102156418122805
0.56,bloom-seen 0s,34,0.132071099190664
1.1,bloom-seen 0s,34,0.14355606079744
1.7,bloom-seen 0s,34,0.0849518698355908
3.0,bloom-seen 0s,34,0.198257123052528
7.1,bloom-seen 0s,34,0.14911120488226
0.56,bloom-seen 0s,35,0.155431061313414
1.1,bloom-seen 0s,35,0.116444756501133
1.7,bloom-seen 0s,35,0.0369897959183673
3.0,bloom-seen 0s,35,0.185037150300716
7.1,bloom-seen 0s,35,0.18385341730903
0.56,bloom-seen 0s,36,0.141634760161701
1.1,bloom-seen 0s,36,0.164239317219655
1.7,bloom-seen 0s,36,0.0279365079365079
3.0,bloom-seen 0s,36,0.161562439175197
7.1,bloom-seen 0s,36,0.159214847176405
0.56,bloom-seen 0s,37,0.123432027273152
1.1,bloom-seen 0s,37,0.04742145820984
1.7,bloom-seen 0s,37,0.38511442730609
3.0,bloom-seen 0s,37,0.318057092043763
7.1,bloom-seen 0s,37,0.378354214700963
0.56,bloom-seen 0s,38,0.354002071366884
1.1,bloom-seen 0s,38,0.230007714894649
1.7,bloom-seen 0s,38,0.452683106636539
3.0,bloom-seen 0s,38,0.268338448293814
7.1,bloom-seen 0s,38,0.271440007319864
0.56,bloom-seen 0s,39,0.303433700427371
1.1,bloom-seen 0s,39,0.1241766547889
1.7,bloom-seen 0s,39,0.205103217180656
3.0,bloom-seen 0s,39,0.218568934483619
7.1,bloom-seen 0s,39,0.110522625779214
0.56,bloom-seen 0s,40,0.145760194998314
1.1,bloom-seen 0s,40,0.0854598617756512
1.7,bloom-seen 0s,40,0.0278128950695322
3.0,bloom-seen 0s,40,0.11822277524219
7.1,bloom-seen 0s,40,0.0356643356643357
0.56,bloom-seen 0s,41,0.164911404933479
1.1,bloom-seen 0s,41,0.122147643572199
1.7,bloom-seen 0s,41,0.0971051016214962
3.0,bloom-seen 0s,41,0.0734715904710508
7.1,bloom-seen 0s,41,0.0354420354420354
0.56,bloom-seen 0s,42,0.575235142191088
1.1,bloom-seen 0s,42,0.205650103225546
1.7,bloom-seen 0s,42,0.62216430255792
3.0,bloom-seen 0s,42,0.520559177698393
7.1,bloom-seen 0s,42,0.617128655703205
0.56,bloom-seen 0s,43,0.499103929276343
1.1,bloom-seen 0s,43,0.516943662488084
1.7,bloom-seen 0s,43,0.632183213750034
3.0,bloom-seen 0s,43,0.407866073624759
7.1,bloom-seen 0s,43,0.595262291511391
0.56,bloom-seen 0s,44,0.113258132810975
1.1,bloom-seen 0s,44,0.0723419169792969
1.7,bloom-seen 0s,44,0.0279365079365079
3.0,bloom-seen 0s,44,0.101265353454872
7.1,bloom-seen 0s,44,0.0457276927865163
0.56,bloomz-seen 0s,0,0.310248032497588
1.1,bloomz-seen 0s,0,0.262674584103155
1.7,bloomz-seen 0s,0,0.244945394372259
3.0,bloomz-seen 0s,0,0.353334084969588
7.1,bloomz-seen 0s,0,0.404000173882803
0.56,bloomz-seen 0s,1,0.456802101407365
1.1,bloomz-seen 0s,1,0.346219733522199
1.7,bloomz-seen 0s,1,0.342716911325934
3.0,bloomz-seen 0s,1,0.468787309386968
7.1,bloomz-seen 0s,1,0.500647008274361
0.56,bloomz-seen 0s,2,0.358078734223405
1.1,bloomz-seen 0s,2,0.279729989963819
1.7,bloomz-seen 0s,2,0.38052598327372
3.0,bloomz-seen 0s,2,0.437715565183884
7.1,bloomz-seen 0s,2,0.491881204843077
0.56,bloomz-seen 0s,3,0.238140085351318
1.1,bloomz-seen 0s,3,0.214927666218214
1.7,bloomz-seen 0s,3,0.219351312514928
3.0,bloomz-seen 0s,3,0.303137833497269
7.1,bloomz-seen 0s,3,0.36031318389759
0.56,bloomz-seen 0s,4,0.450735840769097
1.1,bloomz-seen 0s,4,0.349086411095527
1.7,bloomz-seen 0s,4,0.39227966043185
3.0,bloomz-seen 0s,4,0.467022728128972
7.1,bloomz-seen 0s,4,0.524179984582101
0.56,bloomz-seen 0s,5,0.494547665855617
1.1,bloomz-seen 0s,5,0.340967332623886
1.7,bloomz-seen 0s,5,0.342571118397731
3.0,bloomz-seen 0s,5,0.468189708472662
7.1,bloomz-seen 0s,5,0.529206485338561
0.56,bloomz-seen 0s,6,0.521740016707451
1.1,bloomz-seen 0s,6,0.386150448404891
1.7,bloomz-seen 0s,6,0.389342140418455
3.0,bloomz-seen 0s,6,0.499246825246599
7.1,bloomz-seen 0s,6,0.518622157163824
0.56,bloomz-seen 0s,7,0.438796883564325
1.1,bloomz-seen 0s,7,0.308508996201712
1.7,bloomz-seen 0s,7,0.307918053127291
3.0,bloomz-seen 0s,7,0.458974951142749
7.1,bloomz-seen 0s,7,0.534818481496631
0.56,bloomz-seen 0s,8,0.237898901158115
1.1,bloomz-seen 0s,8,0.176771054141471
1.7,bloomz-seen 0s,8,0.183735528007713
3.0,bloomz-seen 0s,8,0.28559235575745
7.1,bloomz-seen 0s,8,0.292285103874778
0.56,bloomz-seen 0s,9,0.524349955599956
1.1,bloomz-seen 0s,9,0.396907944748308
1.7,bloomz-seen 0s,9,0.339680695921552
3.0,bloomz-seen 0s,9,0.473167474796977
7.1,bloomz-seen 0s,9,0.545128887124999
0.56,bloomz-seen 0s,10,0.384507247973026
1.1,bloomz-seen 0s,10,0.322892437892438
1.7,bloomz-seen 0s,10,0.364085655417324
3.0,bloomz-seen 0s,10,0.468589619504254
7.1,bloomz-seen 0s,10,0.518546236457695
0.56,bloomz-seen 0s,11,0.36116154335494
1.1,bloomz-seen 0s,11,0.353627171683537
1.7,bloomz-seen 0s,11,0.365836222261394
3.0,bloomz-seen 0s,11,0.491596424010217
7.1,bloomz-seen 0s,11,0.5332712405576
0.56,bloomz-seen 0s,12,0.269671740703252
1.1,bloomz-seen 0s,12,0.126027206624222
1.7,bloomz-seen 0s,12,0.281614651244289
3.0,bloomz-seen 0s,12,0.374499537450028
7.1,bloomz-seen 0s,12,0.444979296066253
0.56,bloomz-seen 0s,13,0.458266886094449
1.1,bloomz-seen 0s,13,0.319229099120519
1.7,bloomz-seen 0s,13,0.346982748276964
3.0,bloomz-seen 0s,13,0.491369822450511
7.1,bloomz-seen 0s,13,0.519885392531937
0.56,bloomz-seen 0s,14,0.41557005024924
1.1,bloomz-seen 0s,14,0.356474511804722
1.7,bloomz-seen 0s,14,0.363795071814554
3.0,bloomz-seen 0s,14,0.467202146332743
7.1,bloomz-seen 0s,14,0.526591287620699
0.56,bloomz-seen 0s,15,0.300467835031375
1.1,bloomz-seen 0s,15,0.23923384139014
1.7,bloomz-seen 0s,15,0.253471745367692
3.0,bloomz-seen 0s,15,0.358427308795794
7.1,bloomz-seen 0s,15,0.442147803546383
0.56,bloomz-seen 0s,16,0.328981158680108
1.1,bloomz-seen 0s,16,0.245435988160446
1.7,bloomz-seen 0s,16,0.233773478955778
3.0,bloomz-seen 0s,16,0.390438352027084
7.1,bloomz-seen 0s,16,0.443822020198024
0.56,bloomz-seen 0s,17,0.354188470758837
1.1,bloomz-seen 0s,17,0.201011804706723
1.7,bloomz-seen 0s,17,0.285437381341086
3.0,bloomz-seen 0s,17,0.357771463913372
7.1,bloomz-seen 0s,17,0.450971431718381
0.56,bloomz-seen 0s,18,0.26768526414145
1.1,bloomz-seen 0s,18,0.170918490311385
1.7,bloomz-seen 0s,18,0.206216332752969
3.0,bloomz-seen 0s,18,0.344421994995854
7.1,bloomz-seen 0s,18,0.342802054606974
0.56,bloomz-seen 0s,19,0.39407210031348
1.1,bloomz-seen 0s,19,0.278987678987679
1.7,bloomz-seen 0s,19,0.347828292580985
3.0,bloomz-seen 0s,19,0.474578989869755
7.1,bloomz-seen 0s,19,0.515039682539683
0.56,bloomz-seen 0s,20,0.393811051235561
1.1,bloomz-seen 0s,20,0.313640603119081
1.7,bloomz-seen 0s,20,0.331276792519011
3.0,bloomz-seen 0s,20,0.480698651719545
7.1,bloomz-seen 0s,20,0.506327784327672
0.56,bloomz-seen 0s,21,0.37971225767903
1.1,bloomz-seen 0s,21,0.350477481358988
1.7,bloomz-seen 0s,21,0.373902967913712
3.0,bloomz-seen 0s,21,0.493562392795883
7.1,bloomz-seen 0s,21,0.531338409702776
0.56,bloomz-seen 0s,22,0.31799826423565
1.1,bloomz-seen 0s,22,0.203512217437256
1.7,bloomz-seen 0s,22,0.23503584392302
3.0,bloomz-seen 0s,22,0.366645206626145
7.1,bloomz-seen 0s,22,0.425791002254091
0.56,bloomz-seen 0s,23,0.331635063297952
1.1,bloomz-seen 0s,23,0.216358190551174
1.7,bloomz-seen 0s,23,0.242067739519014
3.0,bloomz-seen 0s,23,0.367978570924484
7.1,bloomz-seen 0s,23,0.39841207578762
0.56,bloomz-seen 0s,24,0.398363107814965
1.1,bloomz-seen 0s,24,0.309623824451411
1.7,bloomz-seen 0s,24,0.380685614624586
3.0,bloomz-seen 0s,24,0.475748646482015
7.1,bloomz-seen 0s,24,0.537519583695547
0.56,bloomz-seen 0s,25,0.382538202247899
1.1,bloomz-seen 0s,25,0.405056186085504
1.7,bloomz-seen 0s,25,0.373045871354006
3.0,bloomz-seen 0s,25,0.490123254185489
7.1,bloomz-seen 0s,25,0.513507211543004
0.56,bloomz-seen 0s,26,0.511097244046414
1.1,bloomz-seen 0s,26,0.372691496940639
1.7,bloomz-seen 0s,26,0.369804182482076
3.0,bloomz-seen 0s,26,0.464908159502658
7.1,bloomz-seen 0s,26,0.526884270516346
0.56,bloomz-seen 0s,27,0.31615026766792
1.1,bloomz-seen 0s,27,0.208508711951524
1.7,bloomz-seen 0s,27,0.223349679729768
3.0,bloomz-seen 0s,27,0.386566690431008
7.1,bloomz-seen 0s,27,0.4628478557642
0.56,bloomz-seen 0s,28,0.282233200355952
1.1,bloomz-seen 0s,28,0.17211408876447
1.7,bloomz-seen 0s,28,0.208373422457012
3.0,bloomz-seen 0s,28,0.385213801396446
7.1,bloomz-seen 0s,28,0.462959538735936
0.56,bloomz-seen 0s,29,0.301621477937267
1.1,bloomz-seen 0s,29,0.20415287327052
1.7,bloomz-seen 0s,29,0.266981876345761
3.0,bloomz-seen 0s,29,0.356734917262025
7.1,bloomz-seen 0s,29,0.408148879074512
0.56,bloomz-seen 0s,30,0.488677896943917
1.1,bloomz-seen 0s,30,0.36710183841662
1.7,bloomz-seen 0s,30,0.352700316351094
3.0,bloomz-seen 0s,30,0.469949684994275
7.1,bloomz-seen 0s,30,0.557821869666487
0.56,bloomz-seen 0s,31,0.316298737008074
1.1,bloomz-seen 0s,31,0.265911335144842
1.7,bloomz-seen 0s,31,0.263733001141908
3.0,bloomz-seen 0s,31,0.43096663836203
7.1,bloomz-seen 0s,31,0.502909647208043
0.56,bloomz-seen 0s,32,0.382768215198105
1.1,bloomz-seen 0s,32,0.36600491796144
1.7,bloomz-seen 0s,32,0.319160849865503
3.0,bloomz-seen 0s,32,0.452307605253105
7.1,bloomz-seen 0s,32,0.508182233696179
0.56,bloomz-seen 0s,33,0.451753299778654
1.1,bloomz-seen 0s,33,0.282353353259854
1.7,bloomz-seen 0s,33,0.354524389406839
3.0,bloomz-seen 0s,33,0.480511036927889
7.1,bloomz-seen 0s,33,0.5112754544526
0.56,bloomz-seen 0s,34,0.317490720468056
1.1,bloomz-seen 0s,34,0.205839778833908
1.7,bloomz-seen 0s,34,0.241053433973059
3.0,bloomz-seen 0s,34,0.359589284504884
7.1,bloomz-seen 0s,34,0.421861388011921
0.56,bloomz-seen 0s,35,0.27390542577787
1.1,bloomz-seen 0s,35,0.171368317549035
1.7,bloomz-seen 0s,35,0.220985646633144
3.0,bloomz-seen 0s,35,0.344928118855106
7.1,bloomz-seen 0s,35,0.410147691828341
0.56,bloomz-seen 0s,36,0.254403079497537
1.1,bloomz-seen 0s,36,0.192519892760646
1.7,bloomz-seen 0s,36,0.219629897121645
3.0,bloomz-seen 0s,36,0.342146274777854
7.1,bloomz-seen 0s,36,0.435954248668968
0.56,bloomz-seen 0s,37,0.401172724349728
1.1,bloomz-seen 0s,37,0.315411921347486
1.7,bloomz-seen 0s,37,0.380419090713208
3.0,bloomz-seen 0s,37,0.456542896318381
7.1,bloomz-seen 0s,37,0.508301090000791
0.56,bloomz-seen 0s,38,0.382067719600813
1.1,bloomz-seen 0s,38,0.383325214143629
1.7,bloomz-seen 0s,38,0.35645208523292
3.0,bloomz-seen 0s,38,0.494098548510313
7.1,bloomz-seen 0s,38,0.539050765126347
0.56,bloomz-seen 0s,39,0.331111996489283
1.1,bloomz-seen 0s,39,0.282852282852283
1.7,bloomz-seen 0s,39,0.25330357056325
3.0,bloomz-seen 0s,39,0.358700852312834
7.1,bloomz-seen 0s,39,0.385144300374292
0.56,bloomz-seen 0s,40,0.268159902041481
1.1,bloomz-seen 0s,40,0.199719818896773
1.7,bloomz-seen 0s,40,0.227492535854429
3.0,bloomz-seen 0s,40,0.329349844118726
7.1,bloomz-seen 0s,40,0.409093736098984
0.56,bloomz-seen 0s,41,0.276107687621547
1.1,bloomz-seen 0s,41,0.171600761516728
1.7,bloomz-seen 0s,41,0.240244675866295
3.0,bloomz-seen 0s,41,0.368853184304338
7.1,bloomz-seen 0s,41,0.437727601381159
0.56,bloomz-seen 0s,42,0.327758771492787
1.1,bloomz-seen 0s,42,0.330227742013419
1.7,bloomz-seen 0s,42,0.391396207570736
3.0,bloomz-seen 0s,42,0.489758628164161
7.1,bloomz-seen 0s,42,0.508120333613755
0.56,bloomz-seen 0s,43,0.337263240734487
1.1,bloomz-seen 0s,43,0.356542503250036
1.7,bloomz-seen 0s,43,0.37600173724301
3.0,bloomz-seen 0s,43,0.485620779999753
7.1,bloomz-seen 0s,43,0.520345172039545
0.56,bloomz-seen 0s,44,0.247996566526717
1.1,bloomz-seen 0s,44,0.16139013108183
1.7,bloomz-seen 0s,44,0.244301465925196
3.0,bloomz-seen 0s,44,0.345928047108171
7.1,bloomz-seen 0s,44,0.408460248804203
0.564,xglm-seen 0s,0,0.45989332262641
1.7,xglm-seen 0s,0,0.262747061104831
2.9,xglm-seen 0s,0,0.49290498485033
7.5,xglm-seen 0s,0,0.50878976232569
0.564,xglm-seen 0s,1,0.353185539772235
1.7,xglm-seen 0s,1,0.5226557640918
2.9,xglm-seen 0s,1,0.636923755818537
7.5,xglm-seen 0s,1,0.635009054092134
0.564,xglm-seen 0s,2,0.399321563526884
1.7,xglm-seen 0s,2,0.561684568019972
2.9,xglm-seen 0s,2,0.541493997609106
7.5,xglm-seen 0s,2,0.516332466499035
0.564,xglm-seen 0s,3,0.474417412579155
1.7,xglm-seen 0s,3,0.431326437434812
2.9,xglm-seen 0s,3,0.359067147874217
7.5,xglm-seen 0s,3,0.599835480709251
0.564,xglm-seen 0s,4,0.408344169197416
1.7,xglm-seen 0s,4,0.551609028676698
2.9,xglm-seen 0s,4,0.472759868486706
7.5,xglm-seen 0s,4,0.459970937104778
0.564,xglm-seen 0s,5,0.350248141831494
1.7,xglm-seen 0s,5,0.326005238637707
2.9,xglm-seen 0s,5,0.272693787713178
7.5,xglm-seen 0s,5,0.33919839211974
0.564,xglm-seen 0s,6,0.449099978651442
1.7,xglm-seen 0s,6,0.506896064038921
2.9,xglm-seen 0s,6,0.586466234237461
7.5,xglm-seen 0s,6,0.596577177208756
0.564,xglm-seen 0s,7,0.513603460671583
1.7,xglm-seen 0s,7,0.537961429309226
2.9,xglm-seen 0s,7,0.512909069870953
7.5,xglm-seen 0s,7,0.523418034848296
0.564,xglm-seen 0s,8,0.4536423375431
1.7,xglm-seen 0s,8,0.588018566654006
2.9,xglm-seen 0s,8,0.477762345941727
7.5,xglm-seen 0s,8,0.597509825724902
0.564,xglm-seen 0s,9,0.412608742471637
1.7,xglm-seen 0s,9,0.669170869224021
2.9,xglm-seen 0s,9,0.442599834308206
7.5,xglm-seen 0s,9,0.540056791252651
0.564,xglm-seen 0s,10,0.146428571428571
1.7,xglm-seen 0s,10,0.348690686297873
2.9,xglm-seen 0s,10,0.225511078959355
7.5,xglm-seen 0s,10,0.28098933507381
0.564,xglm-seen 0s,11,0.429608739437302
1.7,xglm-seen 0s,11,0.365299808206841
2.9,xglm-seen 0s,11,0.506610506610507
7.5,xglm-seen 0s,11,0.484624242518979
0.564,xglm-seen 0s,12,0.369632546103134
1.7,xglm-seen 0s,12,0.543526119841586
2.9,xglm-seen 0s,12,0.536331899241991
7.5,xglm-seen 0s,12,0.589809995144303
0.564,xglm-seen 0s,13,0.500405414098786
1.7,xglm-seen 0s,13,0.629534159177946
2.9,xglm-seen 0s,13,0.512587195990981
7.5,xglm-seen 0s,13,0.615193734839352
0.564,xglm-seen 0s,14,0.337422809414147
1.7,xglm-seen 0s,14,0.366015673131423
2.9,xglm-seen 0s,14,0.399855895874553
7.5,xglm-seen 0s,14,0.42067284374596
0.564,xglm-seen 0s,15,0.447267466317532
1.7,xglm-seen 0s,15,0.57910995660434
2.9,xglm-seen 0s,15,0.653724277986524
7.5,xglm-seen 0s,15,0.573921210083186
0.564,xglm-seen 0s,16,0.344336172390684
1.7,xglm-seen 0s,16,0.582439967973859
2.9,xglm-seen 0s,16,0.435307789177377
7.5,xglm-seen 0s,16,0.452327737621855
0.564,xglm-seen 0s,17,0.401420729607488
1.7,xglm-seen 0s,17,0.602415818745123
2.9,xglm-seen 0s,17,0.467987609043879
7.5,xglm-seen 0s,17,0.560378395862088
0.564,xglm-seen 0s,18,0.334744832632157
1.7,xglm-seen 0s,18,0.333482954585343
2.9,xglm-seen 0s,18,0.436477347537255
7.5,xglm-seen 0s,18,0.408795844140491
0.564,xglm-seen 0s,19,0.191304534352926
1.7,xglm-seen 0s,19,0.295166541765635
2.9,xglm-seen 0s,19,0.168325018555433
7.5,xglm-seen 0s,19,0.445529672253089
0.564,xglm-seen 0s,20,0.336368847341698
1.7,xglm-seen 0s,20,0.524516067668864
2.9,xglm-seen 0s,20,0.591667937498448
7.5,xglm-seen 0s,20,0.609508673990255
0.564,xglm-seen 0s,21,0.250057273768614
1.7,xglm-seen 0s,21,0.275728603280513
2.9,xglm-seen 0s,21,0.362787573623487
7.5,xglm-seen 0s,21,0.509291423206185
0.564,xglm-seen 0s,22,0.319635107252148
1.7,xglm-seen 0s,22,0.546287636713169
2.9,xglm-seen 0s,22,0.456891056142199
7.5,xglm-seen 0s,22,0.569195092509115
0.564,xglm-seen 0s,23,0.280436117964898
1.7,xglm-seen 0s,23,0.473941102237748
2.9,xglm-seen 0s,23,0.480875633402671
7.5,xglm-seen 0s,23,0.479816182033039
0.564,xglm-seen 0s,24,0.287789192231917
1.7,xglm-seen 0s,24,0.462935428194854
2.9,xglm-seen 0s,24,0.465644228739467
7.5,xglm-seen 0s,24,0.482739364635901
0.564,xglm-seen 0s,25,0.423262288024594
1.7,xglm-seen 0s,25,0.497926003648673
2.9,xglm-seen 0s,25,0.49291203054834
7.5,xglm-seen 0s,25,0.446449812288322
0.564,xglm-seen 0s,26,0.442782481921208
1.7,xglm-seen 0s,26,0.644096663049102
2.9,xglm-seen 0s,26,0.510108150169351
7.5,xglm-seen 0s,26,0.593802162425769
0.564,xglm-seen 0s,27,0.474631803255665
1.7,xglm-seen 0s,27,0.63761324512271
2.9,xglm-seen 0s,27,0.652279593590055
7.5,xglm-seen 0s,27,0.605541031336608
0.564,xglm-seen 0s,28,0.418842253493217
1.7,xglm-seen 0s,28,0.589010617463857
2.9,xglm-seen 0s,28,0.431970392103283
7.5,xglm-seen 0s,28,0.630737036977415
0.564,xglm-seen 0s,29,0.597528691852645
1.7,xglm-seen 0s,29,0.530437915877723
2.9,xglm-seen 0s,29,0.640362165139547
7.5,xglm-seen 0s,29,0.55255113695866
